No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
90;Telur Ayam;08/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24000
91;Telur Ayam;09/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;26000
92;Telur Ayam;09/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;26000
93;Telur Ayam;09/01/2019;Jawa Barat;Kota Depok;Pasar Agung;25000
94;Telur Ayam;09/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26000
95;Telur Ayam;09/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;26750
96;Telur Ayam;09/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26500
97;Telur Ayam;09/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24250
98;Telur Ayam;09/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;24250
99;Telur Ayam;09/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26000
100;Telur Ayam;09/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26500
101;Telur Ayam;09/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
102;Telur Ayam;09/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25500
103;Telur Ayam;09/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25500
104;Telur Ayam;09/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
105;Telur Ayam;09/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
106;Telur Ayam;09/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25500
107;Telur Ayam;09/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24500
108;Telur Ayam;09/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24000
109;Telur Ayam;10/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;26000
110;Telur Ayam;10/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;26000
111;Telur Ayam;10/01/2019;Jawa Barat;Kota Depok;Pasar Agung;25000
112;Telur Ayam;10/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26000
113;Telur Ayam;10/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;26750
114;Telur Ayam;10/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26000
115;Telur Ayam;10/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24250
116;Telur Ayam;10/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;24250
117;Telur Ayam;10/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26000
118;Telur Ayam;10/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26500
119;Telur Ayam;10/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
120;Telur Ayam;10/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25500
121;Telur Ayam;10/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25500
122;Telur Ayam;10/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
123;Telur Ayam;10/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
124;Telur Ayam;10/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25250
125;Telur Ayam;10/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24250
126;Telur Ayam;10/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24750
127;Telur Ayam;11/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;25000
128;Telur Ayam;11/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;25000
129;Telur Ayam;11/01/2019;Jawa Barat;Kota Depok;Pasar Agung;25000
130;Telur Ayam;11/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26000
131;Telur Ayam;11/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;26250
132;Telur Ayam;11/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26000
133;Telur Ayam;11/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24250
134;Telur Ayam;11/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;24000
135;Telur Ayam;11/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26000
136;Telur Ayam;11/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26500
137;Telur Ayam;11/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
138;Telur Ayam;11/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25500
139;Telur Ayam;11/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25500
140;Telur Ayam;11/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
141;Telur Ayam;11/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
142;Telur Ayam;11/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25000
143;Telur Ayam;11/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24250
144;Telur Ayam;11/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24750
145;Telur Ayam;14/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;25000
146;Telur Ayam;14/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;25000
147;Telur Ayam;14/01/2019;Jawa Barat;Kota Depok;Pasar Agung;24500
148;Telur Ayam;14/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;25500
149;Telur Ayam;14/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;25500
150;Telur Ayam;14/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26000
151;Telur Ayam;14/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24250
152;Telur Ayam;14/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;23750
153;Telur Ayam;14/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;25500
