No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
102;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;57000
103;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;46500
104;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;45500
105;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;49000
106;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;50000
107;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;40000
108;Cabai Rawit Merah;09/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;45000
109;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;50000
110;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;40000
111;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Depok;Pasar Agung;50000
112;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;37500
113;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;50000
114;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;60000
115;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;42500
116;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;50000
117;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;47000
118;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;39000
119;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;56000
120;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;58000
