No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
225;Bawang Merah;18/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;27000
226;Bawang Merah;18/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;28000
227;Bawang Merah;18/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;25000
228;Bawang Merah;18/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;24000
229;Bawang Merah;18/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25000
230;Bawang Merah;18/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;28000
231;Bawang Merah;18/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;22000
232;Bawang Merah;18/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;21000
233;Bawang Merah;18/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26500
234;Bawang Merah;18/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;27000
235;Bawang Merah;21/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;31500
236;Bawang Merah;21/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;25000
237;Bawang Merah;21/01/2019;Jawa Barat;Kota Depok;Pasar Agung;30000
238;Bawang Merah;21/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;20000
239;Bawang Merah;21/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;31500
240;Bawang Merah;21/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
241;Bawang Merah;21/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;25000
242;Bawang Merah;21/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
243;Bawang Merah;21/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26000
244;Bawang Merah;21/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26000
245;Bawang Merah;21/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;25000
246;Bawang Merah;21/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;24000
247;Bawang Merah;21/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;24000
248;Bawang Merah;21/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;25000
249;Bawang Merah;21/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;21000
250;Bawang Merah;21/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;21000
251;Bawang Merah;21/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26500
252;Bawang Merah;21/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;27000
